regla,id,mtta_auto,mtta_manual,mttr_auto,mttr_manual,metodo
RD-1,101,128.725793,684.0,131.907374,834.0,inyectado (logger; validado con hydra real)
RD-1,102,276.537646,532.0,279.141322,682.0,inyectado (logger; validado con hydra real)
RD-1,103,285.570359,241.0,288.676457,391.0,inyectado (logger; validado con hydra real)
RD-1,104,275.555797,1131.0,277.88397,1281.0,inyectado (logger; validado con hydra real)
RD-1,105,279.607525,835.0,284.312581,985.0,inyectado (logger; validado con hydra real)
RD-1,106,272.57321,528.0,303.771041,678.0,inyectado (logger; validado con hydra real)
RD-1,107,237.837733,193.0,241.032899,343.0,inyectado (logger; validado con hydra real)
RD-1,108,278.703065,1134.0,281.252813,1284.0,inyectado (logger; validado con hydra real)
RD-1,109,281.638005,837.0,284.28624,987.0,inyectado (logger; validado con hydra real)
RD-1,110,278.567204,534.0,280.852878,684.0,inyectado (logger; validado con hydra real)
RD-2,211,154.937008,710.0,158.235632,860.0,inyectado (logger)
RD-2,212,296.53554,1151.0,299.275114,1301.0,inyectado (logger)
RD-2,213,238.129561,793.0,240.962556,943.0,inyectado (logger)
RD-2,214,269.083532,524.0,271.620376,674.0,inyectado (logger)
RD-2,215,283.865153,239.0,291.26349,389.0,inyectado (logger)
RD-2,216,272.024857,1127.0,274.555484,1277.0,inyectado (logger)
RD-2,217,280.935335,836.0,286.971356,986.0,inyectado (logger)
RD-2,218,276.928154,532.0,285.742477,682.0,inyectado (logger)
RD-2,219,273.874684,229.0,276.907608,379.0,inyectado (logger)
RD-2,220,281.961494,1137.0,285.062406,1287.0,inyectado (logger)
RD-3,41,149.366522,104.0,154.427635,254.0,inyectado (logger)
RD-3,42,240.436934,1095.0,244.591354,1245.0,inyectado (logger)
RD-3,43,291.537592,846.0,294.26284,996.0,inyectado (logger)
RD-3,44a,280.48447,535.0,284.058023,685.0,inyectado (logger)
RD-3,44b,259.647094,214.0,262.429561,364.0,inyectado (logger)
RD-3,46,265.792152,1120.0,270.673653,1270.0,inyectado (logger)
RD-3,47,283.260063,838.0,287.139773,988.0,inyectado (logger)
RD-3,48,269.394938,524.0,275.197247,674.0,inyectado (logger)
RD-3,49,273.383586,228.0,275.961625,378.0,inyectado (logger)
RD-3,45,66.399078,621.0,74.446534,771.0,inyectado (logger)
RD-4,sqli1,293.031419,1147.0,326.863593,1297.0,real (curl a DVWA)
RD-4,sqli2,206.947121,761.0,213.953943,911.0,real (curl a DVWA)
RD-4,sqli3,251.986064,506.0,255.16829,656.0,real (curl a DVWA)
RD-4,sqli4,209.915723,164.0,215.325147,314.0,real (curl a DVWA)
RD-4,sqli5,226.085455,1080.0,245.553228,1230.0,real (curl a DVWA)
RD-4,sqli6,236.906147,791.0,242.816262,941.0,real (curl a DVWA)
RD-4,sqli7,227.361277,481.0,239.508401,631.0,real (curl a DVWA)
RD-4,sqli8,232.063316,186.0,257.578909,336.0,real (curl a DVWA)
RD-4,sqli9,205.098277,1059.0,241.102737,1209.0,real (curl a DVWA)
RD-4,sqli10,222.945687,777.0,252.743697,927.0,real (curl a DVWA)
RD-5,trav1,106.450116,60.0,110.557214,210.0,real (curl a DVWA)
RD-5,trav2,204.471744,1058.0,207.00855,1208.0,real (curl a DVWA)
RD-5,trav3,270.541502,824.0,275.106228,974.0,real (curl a DVWA)
RD-5,trav4,271.428822,525.0,276.364932,675.0,real (curl a DVWA)
RD-5,trav5,278.462213,232.0,281.986434,382.0,real (curl a DVWA)
RD-5,trav6,276.427669,1130.0,282.253579,1280.0,real (curl a DVWA)
RD-5,trav7,267.778731,821.0,272.260251,971.0,real (curl a DVWA)
RD-5,trav8,280.512694,534.0,285.628198,684.0,real (curl a DVWA)
RD-5,trav9,262.110264,215.0,269.199062,365.0,real (curl a DVWA)
RD-5,trav10,275.115084,1128.0,278.825109,1278.0,real (curl a DVWA)
RD-6,labtest1,169.817199,723.0,,,inyectado (logger)
RD-6,labtest2,210.784737,164.0,,,inyectado (logger)
RD-6,labtest3,210.784737,164.0,,,inyectado (logger)
RD-6,labtest4,210.784737,164.0,,,inyectado (logger)
RD-6,labtest5,210.784737,164.0,,,inyectado (logger)
RD-6,labtest6,210.784737,164.0,,,inyectado (logger)
RD-6,labtest7,210.784737,164.0,,,inyectado (logger)
RD-6,labtest8,210.784737,164.0,,,inyectado (logger)
RD-6,labtest9,210.784737,164.0,,,inyectado (logger)
RD-6,labtest10,210.784737,164.0,,,inyectado (logger)
